"No.","Time","Source","Destination","Protocol","Length","Value","Info"
"39618","25485.520999","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060610004600010be3aa0704ec130000ed","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39620","25485.609042","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060612004900010b4daa0704ef13000031aa040c4dc70000000000000000000043aa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39622","25485.740967","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","25","aa060612004800010bf9aa0704f1130000ccaa081102c1d50000102a0000100e0000b300000032","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39623","25485.827729","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060610004700010b57aa0704eb130000c0","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39625","25485.916072","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060610004700010b57aa0704eb130000c0aa040c4fc700000000000000000000a9aa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39626","25486.046339","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060610004700010b57aa0704ea13000074","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39628","25486.134394","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060612004800010bf9aa0704f013000078aa040c4ec700000000000000000000dcaa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39630","25486.222231","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","25","aa060610004700010b57aa0704eb130000c0aa081102c1d50000102a0000100e0000b40000001f","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39631","25486.308985","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060610004700010b57aa0704f1130000cc","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39633","25486.441755","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060612004800010bf9aa0704ef13000031aa040c50c7000000000000000000001aaa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39634","25486.527731","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060610004700010b57aa0704f013000078","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39636","25486.616532","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060610004700010b57aa0704ef13000031aa040c50c7000000000000000000001aaa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39638","25486.747090","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","25","aa060610004600010be3aa0704e7130000f2aa081102c1d50000102a0000100e0000b40000001f","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39639","25486.834147","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060612004800010bf9aa0704ed13000059","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39641","25486.922992","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060612004800010bf9aa0704ef13000031aa040c53c70000000000000000000085aa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39642","25487.009342","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060611004700010bf7aa0704e51300009a","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39644","25487.142819","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060611004700010bf7aa0704ec130000edaa040c4dc70000000000000000000043aa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39646","25487.229197","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","25","aa060612004900010b4daa0704ed13000059aa081102c1d50000102a0000100e0000b5000000ab","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39647","25487.315248","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060612004900010b4daa0704e2130000b7","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39649","25487.451998","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060611004700010bf7aa0704ea13000074aa040c3ec7000000000000000000006caa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39650","25487.534199","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060610004600010be3aa0704eb130000c0","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39652","25487.622720","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060612004900010b4daa0704e7130000f2aa040c35c7000000000000000000005baa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39654","25487.710112","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","25","aa060612004900010b4daa0704eb130000c0aa081102c1d50000102a0000100e0000b5000000ab","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39655","25487.841785","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060611004800010b19aa0704e81300001c","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39657","25487.929544","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060610004700010b57aa0704ed13000059aa040c25c7000000000000000000000baa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39658","25488.015553","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060610004700010b57aa0704e7130000f2","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39660","25488.149827","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060613004900010bedaa0704ef13000031aa040c21c700000000000000000000dfaa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39664","25488.234044","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","25","aa060611004800010b19aa0704ec130000edaa081102c1d50000102a0000100e0000b600000077","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39665","25488.321679","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060610004700010b57aa0704ec130000ed","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39667","25488.410522","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060613004900010bedaa0704e81300001caa040c22c70000000000000000000040aa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39668","25488.541020","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060611004700010bf7aa0704ea13000074","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39670","25488.628762","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060611004700010bf7aa0704ef13000031aa040c20c700000000000000000000aaaa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39672","25488.716264","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","25","aa060611004700010bf7aa0704ec130000edaa081102c1d50000102a0000100e0000b600000077","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39673","25488.846072","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060612004800010bf9aa0704ec130000ed","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39675","25488.934082","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060612004800010bf9aa0704f1130000ccaa040c27c700000000000000000000e1aa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39676","25489.021060","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060610004700010b57aa0704ef13000031","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39678","25489.109733","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060610004700010b57aa0704f51300003daa040c96c700000000000000000000c5aa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39680","25489.241042","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","25","aa060612004800010bf9aa0704ef13000031aa081102c1d50000102a0000100e0000b7000000c3","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39681","25489.327895","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060612004800010bf9aa0704eb130000c0","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39683","25489.416686","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060610004700010b57aa0704f1130000ccaa040c3fc70000000000000000000019aa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39684","25489.549730","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060610004600010be3aa0704ed13000059","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39686","25489.635194","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060612004800010bf9aa0704e81300001caa040c49c70000000000000000000097aa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39688","25489.722692","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","25","aa060613004900010bedaa0704ec130000edaa081102c1d50000102a0000100e0000b7000000c3","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39689","25489.809311","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060611004800010b19aa0704ef13000031","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39691","25489.944496","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060611004800010b19aa0704ec130000edaa040c46c70000000000000000000074aa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39692","25490.027871","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060610004700010b57aa0704e613000046","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39694","25490.116488","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060612004900010b4daa0704ea13000074aa040c3dc700000000000000000000f3aa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39696","25490.335163","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","25","aa060611004800010b19aa0704ed13000059aa081102c1d50000102a0000100e0000b80000002d","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39697","25490.336008","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060611004700010bf7aa0704ed13000059","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39699","25490.422778","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060612004800010bf9aa0704ef13000031aa040c2fc70000000000000000000049aa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39700","25490.509280","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060610004700010b57aa0704f013000078","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39702","25490.642329","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060611004800010b19aa0704e7130000f2aa040c2bc7000000000000000000009daa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39704","25490.728946","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","25","aa060611004700010bf7aa0704ea13000074aa081102c1d50000102a0000100e0000b80000002d","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39705","25490.815427","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060612004800010bf9aa0704ec130000ed","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39707","25490.948532","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060612004800010bf9aa0704f413000089aa040c30c700000000000000000000faaa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39708","25491.034193","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060610004700010b57aa0704ec130000ed","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39710","25491.122575","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060610004700010b57aa0704ed13000059aa040c37c700000000000000000000b1aa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39712","25491.210341","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","25","aa060612004800010bf9aa0704f413000089aa081102c1d50000102a0000100e0000b900000099","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39713","25491.341383","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060612004800010bf9aa0704ed13000059","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39715","25491.428970","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060611004700010bf7aa0704ec130000edaa040c42c700000000000000000000a0aa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39716","25491.515605","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060610004700010b57aa0704eb130000c0","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39718","25491.647376","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060612004800010bf9aa0704eb130000c0aa040c46c70000000000000000000074aa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39720","25491.735609","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","25","aa060613004900010bedaa0704ed13000059aa081102c1d50000102a0000100e0000b900000099","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39721","25491.821854","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060611004700010bf7aa0704f013000078","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39723","25491.910181","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060610004700010b57aa0704f413000089aa040c4cc70000000000000000000036aa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39724","25492.042915","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060610004700010b57aa0704ea13000074","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39726","25492.129243","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060612004800010bf9aa0704ea13000074aa040c4ac70000000000000000000008aa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39728","25492.216143","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","25","aa060611004700010bf7aa0704ec130000edaa081102c1d50000102a0000100e0000ba00000045","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39729","25492.346835","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060610004700010b57aa0704f413000089","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39731","25492.435260","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060612004800010bf9aa0704f013000078aa040c4dc70000000000000000000043aa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39732","25492.521718","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060610004700010b57aa0704ec130000ed","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39734","25492.610752","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060611004700010bf7aa0704eb130000c0aa040c4fc700000000000000000000a9aa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39736","25492.740626","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","25","aa060611004700010bf7aa0704f1130000ccaa081102c1d50000102a0000100e0000ba00000045","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39737","25492.827933","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060612004800010bf9aa0704f1130000cc","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39739","25492.916683","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060612004800010bf9aa0704ed13000059aa040c51c7000000000000000000006faa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39740","25493.050184","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060610004600010be3aa0704ed13000059","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39742","25493.134556","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060610004700010b57aa0704ed13000059aa040c51c7000000000000000000006faa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39744","25493.222526","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","25","aa060612004800010bf9aa0704eb130000c0aa081102c1d50000102a0000100e0000bb000000f1","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39745","25493.309158","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060612004800010bf9aa0704ed13000059","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
